SIT001 | Anger & Frustration | Toy not shared or taken away
SIT002 | Anger & Frustration | Screen time cut off suddenly
SIT003 | Anger & Frustration | Told 'no' without explanation
SIT004 | Anger & Frustration | Sibling gets bigger portion or more attention
SIT005 | Anger & Frustration | Can't finish homework or a craft
SIT006 | Anger & Frustration | Playdate or plan suddenly cancelled
SIT007 | Anger & Frustration | Someone breaks their Lego or drawing
SIT008 | Anger & Frustration | Being hurried to put shoes on or leave
SIT009 | Anger & Frustration | Feeling hungry or extremely tired (hangry)
SIT010 | Anger & Frustration | Blamed for something they didn't do
SIT011 | Anger & Frustration | Being teased or physically pushed
SIT012 | Anger & Frustration | No say in what to wear or eat
SIT013 | Anger & Frustration | Adult doesn't understand what they mean
SIT014 | Anger & Frustration | Game crashes or internet lags during a win
SIT015 | Anger & Frustration | Forced to sit still too long (car, flight)
SIT016 | Anger & Frustration | Game save file corrupted or deleted
SIT017 | Anger & Frustration | A treat or promise was forgotten
SIT018 | Anger & Frustration | Sibling tells on them unfairly
SIT019 | Anger & Frustration | Scratchy clothes or irritating noise
SIT020 | Anger & Frustration | Repeatedly failing a level or concept
SIT021 | Fear & Insecurity | Darkness or shadows in the room
SIT022 | Fear & Insecurity | Thunder, fireworks, or loud sirens
SIT023 | Fear & Insecurity | Monsters under the bed or scary stories
SIT024 | Fear & Insecurity | Parent leaving for work or a long trip
SIT025 | Fear & Insecurity | Fear of going on stage or presenting
SIT026 | Fear & Insecurity | Anxiety before a big test or result
SIT027 | Fear & Insecurity | Injections, doctors, or dentist visits
SIT028 | Fear & Insecurity | New teacher or unfamiliar adult
SIT029 | Fear & Insecurity | Fear of getting lost in a mall or crowd
SIT030 | Fear & Insecurity | Accidentally saw a scary or violent video
SIT031 | Fear & Insecurity | Heard about war or violence on news
SIT032 | Fear & Insecurity | Saw news about floods, fires, earthquakes
SIT033 | Fear & Insecurity | Fear that a parent might get sick
SIT034 | Fear & Insecurity | Overheard adults talking about money problems
SIT035 | Fear & Insecurity | Overthinking imaginary future dangers
SIT036 | Fear & Insecurity | Fear of being laughed at by class
SIT037 | Fear & Insecurity | First day at a new school
SIT038 | Fear & Insecurity | Fear of dogs, spiders, or insects
SIT039 | Fear & Insecurity | Fear of falling or getting hurt at park
SIT040 | Fear & Insecurity | Fear of getting in trouble with teacher
SIT041 | Fear & Insecurity | Anxiety about the earth breaking (climate change)
SIT042 | Sadness & Grief | Friend is not playing with them today
SIT043 | Sadness & Grief | Death of a pet
SIT044 | Sadness & Grief | Death of a relative or family member
SIT045 | Sadness & Grief | Lost a favourite toy or comfort blanket
SIT046 | Sadness & Grief | Harshly reprimanded by a parent
SIT047 | Sadness & Grief | Feeling invisible to a busy parent
SIT048 | Sadness & Grief | Not invited to a birthday party
SIT049 | Sadness & Grief | A fall or scrape — the shock of pain
SIT050 | Sadness & Grief | Missing a parent who travels often
SIT051 | Sadness & Grief | Close friend moved to another city
SIT052 | Sadness & Grief | Moving house and leaving familiar bedroom
SIT053 | Sadness & Grief | Long illness, lockdown recovery, school break
SIT054 | Sadness & Grief | Highly anticipated movie or event cancelled
SIT055 | Sadness & Grief | Seeing another child or animal cry or suffer
SIT056 | Sadness & Grief | Excluded from a group chat
SIT057 | Sadness & Grief | Not chosen for a special school role
