"id","title","parentLabel","emotion1","emotion2","emotion3","lifeDomains"
"SIT001","Toy not shared or taken away","Someone took the toy you were playing with","Angry","Frustrated","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_COMMUNICATION"
"SIT002","Screen time cut off suddenly","Screen time ended before you were ready","Frustrated","Disappointed","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT003","Told 'no' without explanation","Told 'no' without an explanation","Frustrated","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_LEARNING"
"SIT004","Sibling gets a bigger portion","A sibling got a bigger portion","Jealous","Frustrated","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_LEARNING"
"SIT005","Can't finish homework","Couldn't finish your homework","Frustrated","","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_BUILDING; LIFE_DOMAIN_CREATIVITY"
"SIT006","Playdate or plan suddenly cancelled","A playdate was suddenly cancelled","Disappointed","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_FAMILY"
"SIT007","Someone breaks their Lego or drawing","Someone broke something you built","Angry","Frustrated","","LIFE_DOMAIN_BUILDING; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP"
"SIT008","Being hurried to put shoes on or leave","Being rushed to leave the house","Frustrated","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_COMMUNICATION"
"SIT009","Feeling hungry or extremely tired (hangry)","Hungry and tired all at once","Tired or Cranky","","","LIFE_DOMAIN_FAMILY; LIFE_DOMAIN_CARING"
"SIT010","Blamed for something they didn't do","Blamed for something you didn't do","Angry","Frustrated","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY; LIFE_DOMAIN_LEARNING"
